txn_id,victim_id,amount,upi,bank,time,status
TXN0001,V001,25000,arjun.collect@okhdfcbank,HDFC,2026-04-17 09:32,CONFIRMED
TXN0002,V002,48000,arjun.collect@oksbi,SBI,2026-04-17 09:45,CONFIRMED
TXN0003,V003,120000,arjun.collect@okicici,ICICI,2026-04-17 10:14,CONFIRMED
TXN0004,V004,50000,gr.deposit@ybl,Axis,2026-04-17 10:32,CONFIRMED
TXN0005,V005,200000,arjun.collect@okhdfcbank,HDFC,2026-04-17 11:05,CONFIRMED
TXN0006,V006,25000,compliance.gr@okaxis,Axis,2026-04-17 11:18,CONFIRMED
TXN0007,V007,15000,victim.refund@paytm,Paytm,2026-04-17 11:25,PENDING
TXN0008,V008,80000,arjun.collect@okhdfcbank,HDFC,2026-04-17 11:42,CONFIRMED
TXN0009,V009,95000,arjun.collect@okhdfcbank,HDFC,2026-04-17 12:14,CONFIRMED
TXN0010,V010,35000,gr.deposit@ybl,Axis,2026-04-17 12:32,CONFIRMED
TXN0011,V011,10000,arjun.collect@okicici,ICICI,2026-04-17 12:45,CONFIRMED
TXN0012,V012,75000,arjun.collect@okhdfcbank,HDFC,2026-04-17 13:14,CONFIRMED
TXN0013,V001,25000,arjun.collect@okhdfcbank,HDFC,2026-04-17 14:22,CONFIRMED
TXN0014,V013,180000,arjun.collect@okhdfcbank,HDFC,2026-04-17 14:45,CONFIRMED
TXN0015,V014,42000,gr.deposit@okicici,ICICI,2026-04-17 15:14,CONFIRMED
TXN0016,V015,33000,arjun.collect@okhdfcbank,HDFC,2026-04-17 15:32,CONFIRMED
TXN0017,V016,150000,arjun.collect@okhdfcbank,HDFC,2026-04-17 16:14,CONFIRMED
TXN0018,V017,50000,arjun.collect@okhdfcbank,HDFC,2026-04-17 16:45,CONFIRMED
TXN0019,V018,210000,arjun.collect@okhdfcbank,HDFC,2026-04-17 17:14,CONFIRMED
TXN0020,V019,65000,gr.deposit@oksbi,SBI,2026-04-17 17:32,CONFIRMED
TXN0021,V020,28000,victim.refund@paytm,Paytm,2026-04-17 18:14,PENDING
TXN0022,V021,95000,arjun.collect@okhdfcbank,HDFC,2026-04-17 18:32,CONFIRMED
TXN0023,V022,45000,arjun.collect@okhdfcbank,HDFC,2026-04-17 19:14,CONFIRMED
TXN0024,V023,380000,arjun.collect@okhdfcbank,HDFC,2026-04-17 19:45,CONFIRMED
TXN0025,V024,15000,arjun.collect@okicici,ICICI,2026-04-17 20:14,CONFIRMED
TXN0026,V025,72000,gr.deposit@ybl,Axis,2026-04-17 20:32,CONFIRMED
TXN0027,V026,12000,arjun.collect@okhdfcbank,HDFC,2026-04-17 21:14,CONFIRMED
TXN0028,V027,220000,arjun.collect@okhdfcbank,HDFC,2026-04-17 21:42,CONFIRMED
TXN0029,V028,33000,arjun.collect@okhdfcbank,HDFC,2026-04-17 22:14,CONFIRMED
TXN0030,V029,65000,arjun.collect@oksbi,SBI,2026-04-17 22:32,CONFIRMED
TXN0031,V030,25000,arjun.collect@okhdfcbank,HDFC,2026-04-17 23:14,CONFIRMED
TXN0032,V031,80000,gr.deposit@okicici,ICICI,2026-04-17 23:42,CONFIRMED
TXN0033,V032,18000,arjun.collect@okhdfcbank,HDFC,2026-04-18 09:14,CONFIRMED
TXN0034,V033,145000,arjun.collect@okhdfcbank,HDFC,2026-04-18 09:32,CONFIRMED
TXN0035,V034,55000,arjun.collect@okhdfcbank,HDFC,2026-04-18 09:45,CONFIRMED
TXN0036,V035,12000,arjun.collect@okhdfcbank,HDFC,2026-04-18 10:14,CONFIRMED
TXN0037,V036,220000,arjun.collect@okhdfcbank,HDFC,2026-04-18 10:32,CONFIRMED
TXN0038,V037,75000,arjun.collect@okicici,ICICI,2026-04-18 10:45,CONFIRMED
TXN0039,V038,30000,arjun.collect@okhdfcbank,HDFC,2026-04-18 11:14,CONFIRMED
TXN0040,V039,120000,arjun.collect@okhdfcbank,HDFC,2026-04-18 11:32,CONFIRMED
TXN0041,V040,50000,arjun.collect@okhdfcbank,HDFC,2026-04-18 11:45,CONFIRMED
TXN0042,V041,14000,gr.deposit@paytm,Paytm,2026-04-18 11:48,PENDING
TXN0043,V042,95000,arjun.collect@okhdfcbank,HDFC,2026-04-18 11:50,CONFIRMED
TXN0044,V043,225000,arjun.collect@okhdfcbank,HDFC,2026-04-18 11:54,CONFIRMED
TXN0045,V044,35000,arjun.collect@okhdfcbank,HDFC,2026-04-18 11:55,CONFIRMED
TXN0046,V045,12000,gr.deposit@paytm,Paytm,2026-04-18 11:56,PENDING
TXN0047,V046,28000,arjun.collect@okhdfcbank,HDFC,2026-04-18 11:57,CONFIRMED
